date,tweet,username,nlikes,nreplies,nretweets,clean_tweet
2022-12-23 00:40:07,Nintendo eShop cards are 20% off at Costco:  https://t.co/DpHbVya59c  $50 for $39.99  https://t.co/F5R2VSmZGN,Nintendeal,105,3,19,nintendo eshop cards are  off at costco     for   
2022-12-22 22:49:57,"Shout out to the indie game genre ""If Nintendo won't make a sequel, I will instead."" One of my favorite genres.  Wario-like Anton Blast @Summitsphere Rhythm Heaven-like Melatonin @halfasleepgames DKC-like Kaze &amp; The Wild Masks @kazewildmasks Kururin-like Spinfrog @stdsomewhere  https://t.co/FuvXyO98rZ",antdude92,545,22,82,shout out to the indie game genre if nintendo wont make a sequel i will instead one of my favorite genres  wariolike anton blast summitsphere rhythm heavenlike melatonin halfasleepgames dkclike kaze amp the wild masks kazewildmasks kururinlike spinfrog stdsomewhere  
2022-12-22 21:28:06,"Kirby icons will be returning to Nintendo Switch Online! Kirby and the Forgotten Land icons will be available starting December 30th, and Dream Buffet icons will drop on December 28th! Be sure to grab them while they are available again!  https://t.co/u51VmFIWYV",KirbyInformer,513,5,69,kirby icons will be returning to nintendo switch online kirby and the forgotten land icons will be available starting december  and dream buffet icons will drop on december  be sure to grab them while they are available again  
2022-12-22 20:37:16,Super Mario Run Render Recreation  Made in #Blender3d   #supermario #mario #mariobros #nintendoswitch #art #3dart #3drender #render3d #blenderrender #games #videogames #nintendo #blender #blenderart #Nintendofanart #luigi #commissionsopen #commissions #recreation #remake  https://t.co/pLNx1SgIWa,ujiidow,98,2,23,super mario run render recreation  made in    supermario mario mariobros nintendoswitch art    blenderrender games videogames nintendo blender blenderart nintendofanart luigi commissionsopen commissions recreation remake  
2022-12-22 20:29:42,Nintendo Switch Online icons returning as part of a daily campaign  https://t.co/iQ1cbFZYpH  https://t.co/hYMLeCGpiW,GoNintendoTweet,190,5,24,nintendo switch online icons returning as part of a daily campaign    httpstcohymlecgpiw
2022-12-22 20:18:15,Nintendo Switch Online icons returning as daily special rewards  https://t.co/3qPRoaj7eQ  https://t.co/NSOlD7BDbE,NinEverything,345,11,34,nintendo switch online icons returning as daily special rewards    
2022-12-22 19:58:07,"In addition to this, told that before the Wolves left for the road trip, Rudy gifted all of the ball boys/girls with a Nintendo Switch and a game. Pretty cool move for a group of youngsters that hustle unnoticed.",JonKrawczynski,719,13,41,in addition to this told that before the wolves left for the road trip rudy gifted all of the ball boysgirls with a nintendo switch and a game pretty cool move for a group of youngsters that hustle unnoticed
2022-12-22 19:31:05,Club Nintendo and the Virtual Console will always be peak though 👌  https://t.co/jPotM23Nap,Aiden1291,142,8,26,club nintendo and the virtual console will always be peak though   
2022-12-22 18:36:43,"What I appreciate about the BAYC brand and universe being built is that it lacks ego. The way Nintendo games contrast to other popular franchises, it’s more about fun, whimsy, and adventure. Not delivering “cool” or encouraging people to peacock.  https://t.co/VuuHxM8Xy1",BoredElonMusk,172,11,23,what i appreciate about the bayc brand and universe being built is that it lacks ego the way nintendo games contrast to other popular franchises its more about fun whimsy and adventure not delivering cool or encouraging people to peacock  
2022-12-22 18:17:51,If you love your games console. Your Nintendo or PlayStation or Xbox. That’s great. There are so many good games that help you enjoy life a little bit more. Your games machine is a wonderful thing.   But… you don’t have to hate the other ones. Live and let live  Merry Christmas,Chris_Dring,168,19,16,if you love your games console your nintendo or playstation or xbox thats great there are so many good games that help you enjoy life a little bit more your games machine is a wonderful thing   but you dont have to hate the other ones live and let live  merry christmas
